step,physical_time_s,total_mass_kg,total_mass_relative_drift,liquid_mass_kg,liquid_mass_relative_drift,max_density_deviation,fluid_volume_m3
0,0,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
1,4.166666666666665e-12,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
2,8.33333333333333e-12,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
3,1.25e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
4,1.666666666666666e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
5,2.083333333333333e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
6,2.499999999999999e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
7,2.916666666666666e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
8,3.333333333333332e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
9,3.749999999999999e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
10,4.166666666666665e-11,1.482249999999999e-17,0,4.115999999999998e-18,0,0,4.115999999999998e-21
