step,time_s,Qy_section1_m3_s,Qy_section2_m3_s,section_flux_relative_difference,uy_app_section1_m_s,uy_app_section2_m_s,n1,n2,y1_m,y2_m,area_per_node_m2
0,0,3.499999999999947e-18,3.499999999999947e-18,0,0.0002083333333333303,0.0002083333333333303,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
1,4.166666666666665e-12,1.023611111086408e-17,1.023611111086408e-17,0,0.000609292328027624,0.000609292328027624,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
2,8.33333333333333e-12,1.649305555554855e-17,1.649305555554855e-17,0,0.0009817294973540804,0.0009817294973540804,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
3,1.25e-11,2.239969135802102e-17,2.239969135802102e-17,0,0.001333314961786966,0.001333314961786966,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
4,1.666666666666666e-11,2.808043981465766e-17,2.808043981465766e-17,0,0.00167145475087248,0.00167145475087248,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
5,2.083333333333333e-11,3.359636488325787e-17,3.359636488325787e-17,0,0.001999783624003445,0.001999783624003445,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
6,2.499999999999999e-11,3.897133630541768e-17,3.897133630541768e-17,0,0.002319722399132005,0.002319722399132005,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
7,2.916666666666666e-11,4.421739492825994e-17,4.421739492825994e-17,0,0.002631987793348806,0.002631987793348806,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
8,3.333333333333332e-11,4.934416492592619e-17,4.934416492592619e-17,0,0.002937152674162274,0.002937152674162274,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
9,3.749999999999999e-11,5.436011399143921e-17,5.436011399143921e-17,0,0.003235721070919002,0.003235721070919002,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
10,4.166666666666665e-11,5.92724294319493e-17,5.92724294319493e-17,0,0.003528120799520793,0.003528120799520793,672,672,5.999999999999999e-08,1.2e-07,2.499999999999999e-17
