step,time_s,fluid_nodes,fluid_volume_m3,fluid_mass_kg,fluid_mass_signed_rel,fluid_mass_abs_rel,max_density_deviation,volume_mean_ux_m_s,max_abs_ux_m_s,Qx_legacy_m3_s,qx_legacy_m_s,Bxx_numerical_residual_m2,Qx_plane_groove1_m3_s,Qx_plane_groove2_m3_s,nonfinite_count,all_finite
0,0.0000000000000000e+00,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,5.9813161326456893e-06,6.2499999947400917e-06,1.0048611102844753e-19,2.5765669494473726e-06,2.5765669494473728e-18,1.0333333324707163e-19,1.0333333324707163e-19,0,1
1,4.1666666666666652e-12,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,9.4210436921706786e-06,1.0416666673091399e-05,1.5827353402846737e-19,4.0582957443196766e-06,4.0582957443196772e-18,1.6861111119248069e-19,1.6861111119248069e-19,0,1
2,8.3333333333333304e-12,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.2557627982748144e-05,1.4583333358844199e-05,2.1096815011016877e-19,5.4094397464145839e-06,5.4094397464145842e-18,2.3157407432905284e-19,2.3157407432905284e-19,0,1
3,1.2499999999999996e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.5460277434331487e-05,1.8750000029794020e-05,2.5973266089676889e-19,6.6598118178658694e-06,6.6598118178658699e-18,2.9295524721128742e-19,2.9295524721128742e-19,0,1
4,1.6666666666666661e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,1.8124526644748063e-05,2.2916666685940871e-05,3.0449204763176731e-19,7.8074884008145472e-06,7.8074884008145475e-18,3.5314557633214439e-19,3.5314557633214439e-19,0,1
5,2.0833333333333326e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.0564522782429612e-05,2.7083333334686230e-05,3.4548398274481740e-19,8.8585636601235237e-06,8.8585636601235228e-18,4.1232124492851102e-19,4.1232124492851102e-19,0,1
6,2.4999999999999991e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.2798000093430961e-05,3.1249985117545296e-05,3.8300640156964001e-19,9.8206769633241030e-06,9.8206769633241025e-18,4.7057141629047434e-19,4.7057141629047434e-19,0,1
7,2.9166666666666656e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.4832601833525292e-05,3.5416550084664581e-05,4.1718771080322469e-19,1.0697120789826274e-05,1.0697120789826275e-17,5.2795726531873226e-19,5.2795726531873226e-19,0,1
8,3.3333333333333322e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.6672445652743134e-05,3.9582844238782203e-05,4.4809708696608440e-19,1.1489668896566267e-05,1.1489668896566266e-17,5.8453005736080483e-19,5.8453005736080483e-19,0,1
9,3.7499999999999987e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.8323069646853663e-05,4.3748525105701023e-05,4.7582757006714142e-19,1.2200706924798498e-05,1.2200706924798498e-17,6.4033471977631143e-19,6.4033471977631143e-19,0,1
10,4.1666666666666652e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.9791079584561085e-05,4.7913066250969466e-05,5.0049013702062604e-19,1.2833080436426309e-05,1.2833080436426309e-17,6.9541042210840775e-19,6.9541042210840775e-19,0,1
11,4.5833333333333317e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.1082234291564433e-05,5.2051815979274180e-05,5.2218153609828223e-19,1.3389270156366211e-05,1.3389270156366211e-17,7.4946584550601439e-19,7.4946584550601439e-19,0,1
12,4.9999999999999982e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.2200677185729648e-05,5.6104744263482729e-05,5.4097137672025792e-19,1.3871060941545076e-05,1.3871060941545075e-17,8.0174817482309992e-19,8.0174817482309992e-19,0,1
13,5.4166666666666648e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.3150379210203819e-05,5.9973840981650058e-05,5.5692637073142388e-19,1.4280163352087793e-05,1.4280163352087792e-17,8.5103303303320432e-19,8.5103303303320432e-19,0,1
14,5.8333333333333313e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.3935788453237012e-05,6.3539531937812201e-05,5.7012124601438166e-19,1.4618493487548248e-05,1.4618493487548249e-17,8.9580813619169751e-19,8.9580813619169751e-19,0,1
15,6.2499999999999978e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.4561026251300961e-05,6.6681883772516101e-05,5.8062524102185590e-19,1.4887826692868100e-05,1.4887826692868099e-17,9.3450751447381450e-19,9.3450751447381450e-19,0,1
16,6.6666666666666643e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5029522869819408e-05,6.9302950757369557e-05,5.8849598421296593e-19,1.5089640620845280e-05,1.5089640620845281e-17,9.6576735296021030e-19,9.6576735296021030e-19,0,1
17,7.0833333333333308e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5344595021718203e-05,7.1340746292863951e-05,5.9378919636486550e-19,1.5225364009355526e-05,1.5225364009355528e-17,9.8860801955721599e-19,9.8860801955721599e-19,0,1
18,7.4999999999999974e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5509640528221448e-05,7.2773580834179598e-05,5.9656196087411999e-19,1.5296460535233847e-05,1.5296460535233847e-17,1.0025164668600923e-18,1.0025164668600923e-18,0,1
19,7.9166666666666639e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5527832318361619e-05,7.3616292017370416e-05,5.9686758294847502e-19,1.5304296998678849e-05,1.5304296998678848e-17,1.0074525020794999e-18,1.0074525020794999e-18,0,1
20,8.3333333333333304e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5402010346064918e-05,7.3910314335811112e-05,5.9475377381389039e-19,1.5250096764458728e-05,1.5250096764458726e-17,1.0037741396696011e-18,1.0037741396696011e-18,0,1
21,8.7499999999999969e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.5134879163051617e-05,7.3713049135892312e-05,5.9026596993926690e-19,1.5135024870237614e-05,1.5135024870237614e-17,9.9214517665872781e-19,9.9214517665872781e-19,0,1
22,9.1666666666666634e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.4729056444134766e-05,7.3086774636438041e-05,5.8344814826146383e-19,1.4960208929781125e-05,1.4960208929781123e-17,9.7341250558072966e-19,9.7341250558072966e-19,0,1
23,9.5833333333333300e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.4186975500917702e-05,7.2091601656445136e-05,5.7434118841541715e-19,1.4726697138856851e-05,1.4726697138856853e-17,9.4851504182108186e-19,9.4851504182108186e-19,0,1
24,9.9999999999999965e-11,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.3510870574839712e-05,7.0779795375993672e-05,5.6298262565730691e-19,1.4435451939930947e-05,1.4435451939930949e-17,9.1839011549808822e-19,9.1839011549808822e-19,0,1
25,1.0416666666666663e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.2702883510283230e-05,6.9194535276526054e-05,5.4940844297275803e-19,1.4087395973660463e-05,1.4087395973660464e-17,8.8392721391622257e-19,8.8392721391622257e-19,0,1
26,1.0833333333333330e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.1765155732966085e-05,6.7369043725883074e-05,5.3365461631383004e-19,1.3683451700354616e-05,1.3683451700354616e-17,8.4592194267033019e-19,8.4592194267033019e-19,0,1
27,1.1249999999999996e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,3.0699932331108765e-05,6.5328766933958163e-05,5.1575886316262706e-19,1.3224586234939156e-05,1.3224586234939156e-17,8.0507134730866838e-19,8.0507134730866838e-19,0,1
28,1.1666666666666663e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.9509750211647143e-05,6.3092504851971777e-05,4.9576380355567188e-19,1.2711892398863382e-05,1.2711892398863383e-17,7.6196144591013790e-19,7.6196144591013790e-19,0,1
29,1.2083333333333328e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.8197708070148349e-05,6.0675336214374888e-05,4.7372149557849205e-19,1.2146705014833130e-05,1.2146705014833130e-17,7.1708478009361243e-19,7.1708478009361243e-19,0,1
30,1.2499999999999996e-10,32928,4.1159999999999979e-21,nan,nan,nan,0.0000000000000000e+00,2.6767739438392040e-05,5.8089706617420378e-05,4.4969802256498613e-19,1.1530718527307338e-05,1.1530718527307338e-17,6.7084246716237838e-19,6.7084246716237838e-19,0,1
