run_id,gap_nm,mode,coordinate_nm,fluid_area_m2,pressure_section_mean_Pa,Q_total_m3_s,Q_gap_m3_s,Q_recess_m3_s,recess_fraction_of_Q,periodic_section_pressure_gradient_Pa_m
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,2.5,3e-14,-0.06035803301570316,2.9987864328631986e-18,1.7842682692844393e-18,1.2145181635787593e-18,0.40500322072591033,-24156114.268116653
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,7.5,3e-14,-0.1812072422603766,2.9987864315785375e-18,1.7839495108091796e-18,1.2148369207693578e-18,0.4051095162951892,-24210597.027403608
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,12.5,3e-14,-0.30246400328973927,2.99878643501188e-18,1.7833040856658045e-18,1.2154823493460754e-18,0.4053247457554476,-24329205.32176892
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,17.5,3e-14,-0.4244992954780658,2.998786448642932e-18,1.782315914033461e-18,1.2164705346094705e-18,0.40565427230070716,-24527097.771565124
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,22.5,3e-14,-0.5477349810053905,2.9987864515987896e-18,1.7809603194564264e-18,1.2178261321423633e-18,0.40610632060615215,-24840831.237534683
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,27.5,3e-14,-0.6729076078534126,2.9987864522354358e-18,1.7792031769658935e-18,1.2195832752695422e-18,0.40669227192233304,-25305156.33275111
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,32.5,3e-14,-0.8007865443329016,2.998786460932479e-18,1.7769999933079815e-18,1.2217864676244973e-18,0.4074269653880524,-26006217.941641808
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,37.5,3e-14,-0.9329697872698307,2.998786467082937e-18,1.774294136794197e-18,1.22449233028874e-18,0.40832928377186595,-26988766.64539178
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,42.5,3e-14,-1.0706742107868195,2.998786463695069e-18,1.7710152968447803e-18,1.2277711668502888e-18,0.4094226720422913,-28447316.492597252
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,47.5,3e-14,-1.2174429521958032,2.9987864785880446e-18,1.7670764558715746e-18,1.2317100227164701e-18,0.4107361532777123,-30324641.456206635
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,52.5,3e-14,-1.3739206253488858,2.998786480634408e-18,1.7623742675368704e-18,1.2364122130975375e-18,0.41230418406980696,-32950753.52986654
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,57.5,3e-14,-1.5469504874944686,2.998786484545235e-18,1.7567982161381224e-18,1.2419882684071128e-18,0.4141636207872465,-235036346.25531378
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,62.5,4.2000000000000004e-14,-3.724284087902024,2.9987864972948752e-18,1.7385126990120624e-18,1.2602737982828128e-18,0.4202612621537652,-187853721.54485613
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,67.5,4.2000000000000004e-14,-3.42548770294303,2.9987864997004896e-18,1.7127197925219662e-18,1.2860667071785238e-18,0.4288623772672621,60356349.00842397
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,72.5,4.2000000000000004e-14,-3.120720597817784,2.9987864975624443e-18,1.6860862339854068e-18,1.3127002635770379e-18,0.4377438222574574,61543262.863443
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,77.5,4.2000000000000004e-14,-2.8100550743086,2.998786498172201e-18,1.6600413081505395e-18,1.338745190021662e-18,0.44642897746726695,62694768.72114907
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,82.5,4.2000000000000004e-14,-2.4937729106062934,2.9987864940816957e-18,1.6354834735011536e-18,1.3633030205805419e-18,0.4546182341660905,63773687.510263376
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,87.5,4.2000000000000004e-14,-2.172318199205966,2.998786488509997e-18,1.6130663154854118e-18,1.3857201730245851e-18,0.46209364298993694,64753559.57590398
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,92.5,4.2000000000000004e-14,-1.8462373148472535,2.998786483006466e-18,1.593235630707568e-18,1.405550852298898e-18,0.4687065452188339,65616563.87079328
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,97.5,4.2000000000000004e-14,-1.5161525604980333,2.998786478539106e-18,1.5763195258386988e-18,1.4224669527004075e-18,0.47434752786846596,66350011.71735071
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,102.5,4.2000000000000004e-14,-1.1827371976737464,2.9987864621688123e-18,1.5625500320311403e-18,1.4362364301376719e-18,0.47893921366409753,66945185.03866026
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,107.5,4.2000000000000004e-14,-0.8467007101114307,2.998786452050506e-18,1.552094082808253e-18,1.446692369242253e-18,0.4824259387503354,67395922.07152219
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,112.5,4.2000000000000004e-14,-0.5087779769585246,2.998786444367574e-18,1.5450647820671294e-18,1.4537216623004448e-18,0.4847699858824145,67698226.24112877
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,117.5,4.2000000000000004e-14,-0.16971844770014285,2.9987864406367137e-18,1.541533155750585e-18,1.4572532848861287e-18,0.4859476704105408,67849898.60263608
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,122.5,4.2000000000000004e-14,0.16972100906783627,2.998786425351163e-18,1.5415331391523068e-18,1.4572532861988564e-18,0.4859476733252884,67849895.21439587
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,127.5,4.2000000000000004e-14,0.5087805044438157,2.99878642057132e-18,1.5450647350462533e-18,1.4537216855250668e-18,0.4847699974738808,67698215.5672851
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,132.5,4.2000000000000004e-14,0.8467031647406873,2.998786412351731e-18,1.5520940198712196e-18,1.4466923924805114e-18,0.48242595288604606,67395903.91516687
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,137.5,4.2000000000000004e-14,1.1827395435954844,2.9987864044550232e-18,1.5625499438101542e-18,1.4362364606448686e-18,0.4789392330548062,66945159.24723376
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,142.5,4.2000000000000004e-14,1.516154757213025,2.9987863883826683e-18,1.5763194121063863e-18,1.422466976276282e-18,0.4743475499912014,66349978.09217089
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,147.5,4.2000000000000004e-14,1.8462393245171933,2.9987863845031274e-18,1.5932355019231182e-18,1.405550882580009e-18,0.4687065707125706,65616521.6153576
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,152.5,4.2000000000000004e-14,2.172319973366601,2.9987863782660456e-18,1.6130661764691468e-18,1.3857202017968986e-18,0.4620936695724715,64753506.676781744
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,157.5,4.2000000000000004e-14,2.4937743912850108,2.9987863626390165e-18,1.635483325344467e-18,1.36330303729455e-18,0.45461825966648883,63773625.02117951
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,162.5,4.2000000000000004e-14,2.810056223578396,2.998786365362882e-18,1.6600411624494884e-18,1.338745202913394e-18,0.446429001537558,62694696.08508404
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,167.5,4.2000000000000004e-14,3.1207213521358512,2.9987863643368586e-18,1.6860860969700299e-18,1.3127002673668287e-18,0.4377438429686587,61543180.651607975
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,172.5,4.2000000000000004e-14,3.425488030094476,2.9987863685828512e-18,1.7127196667843238e-18,1.2860667017985273e-18,0.42886239422459727,60356261.99983417
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,177.5,4.2000000000000004e-14,3.724283972134193,2.998786365168746e-18,1.738512590281971e-18,1.2602737748867747e-18,0.42026127286858506,-187854033.36868396
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,182.5,3e-14,1.546947696407636,2.9987863810902127e-18,1.7567981272804903e-18,1.2419882538097226e-18,0.41416363020769625,-235036648.77514046
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,187.5,3e-14,1.3739174843827884,2.9987863858423224e-18,1.7623741876832354e-18,1.2364121981590872e-18,0.41230419212130515,-32950815.002123512
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,192.5,3e-14,1.217439546386401,2.9987863917085632e-18,1.767076383930544e-18,1.2317100077780197e-18,0.41073616019587544,-30324688.47433727
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,197.5,3e-14,1.0706705996394157,2.9987863913447655e-18,1.7710152307245154e-18,1.2277711606202503e-18,0.4094226798427189,-28447352.334857002
sim_ec1xt240_right_angle_h75_dx5_a1e5_x_20260909,75,x,202.5,3e-14,0.9329660230378309,2.9987863993596878e-18,1.774294079268657e-18,1.2244923200910306e-18,0.40832928959277953,-26988793.412844338
