step,LocalPressure_donor_f3_after_collision,LocalPressure_donor_f8_pre_collision,LocalPressure_donor_f17_after_collision,LocalPressure_source_f8_after_Bouzidi,ZouHe_cell_0_0_14_f3_end_step,ZouHe_cell_0_0_14_f8_end_step,ZouHe_cell_0_0_14_f17_end_step,ZouHe_cell_0_1_15_f3_end_step,ZouHe_cell_0_1_15_f8_end_step,ZouHe_cell_0_1_15_f17_end_step,ZouHe_cell_0_0_14_Mach_end_step
3,2.499747055770616e-12,2.4997500062499999e-12,9.5890579977948932e-18,6.2468753906250021e-11,4.4986501012499992e-11,2.2493250506249996e-11,0,1.2493750781250002e-10,6.2468753908948543e-11,2.4997588576881514e-12,2.3375688252693517e-10
4,2.2493243996315938e-11,2.2493250506249996e-11,2.3001335299274437e-17,1.2241427459530805e-10,1.2493750781250002e-10,6.2468753908948543e-11,0,2.4482853001250003e-10,1.2491402391509087e-10,2.249323450385771e-11,6.4919451047831485e-10
20,4.9520051796496028e-09,9.0452033795938923e-10,-4.5281175777409382e-09,2.0180922539814386e-10,6.8196969270124996e-09,7.3938525163897071e-09,0,7.5753694180125e-09,8.411244294548334e-09,5.3174461868326417e-09,4.9237179601484019e-08
40,1.5303955079169051e-08,-5.4718518798495313e-08,-9.6766610401594067e-08,-7.106770470134014e-08,3.0859718303935541e-08,4.144313464865204e-08,-2.6389199847220591e-09,3.2760540519836736e-08,4.3789130151326953e-08,2.9917525054159552e-08,2.4936690864974772e-07
52,-1.2708118793222156e-09,-2.1614071854226376e-07,-3.1614764845313528e-07,-2.6270694282886195e-07,5.8861729472240109e-08,7.3089721037581034e-08,-1.2233985821493715e-08,6.1705337499531752e-08,7.6103601623087044e-08,5.1925538157531548e-08,4.4645933851827307e-07
100,-1.6069676886205274e-06,-8.4627820681480803e-06,-1.0441812119780415e-05,-9.6745028632777711e-06,3.1366478624211528e-07,3.8684390210161204e-07,-1.9554494014487238e-07,3.2211191367296336e-07,3.9753219764147813e-07,3.0939038443621202e-07,1.625935748285343e-06
160,-8.98078550084342e-05,-0.00047253740961415854,-0.00057978226174740851,-0.00054140267046967139,1.1221235559126719e-06,1.4291814550825861e-06,-9.7851421484023141e-07,1.141592650704363e-06,1.4547409907377774e-06,1.2311657735594244e-06,4.135183554303913e-06
180,-0.00034793498470126003,-0.001851336925622429,-0.0022743534236589792,-0.0021233576792320081,1.5546596536380367e-06,1.9931133570703568e-06,-1.4393267822415529e-06,1.5786614118161312e-06,2.0246736904746416e-06,1.7424665927038545e-06,5.2268065158387817e-06
200,-0.0013636621141387825,-0.0073150141220768416,-0.0089938639365924958,-0.0083950852642607123,2.0841332050556985e-06,2.6986517249478984e-06,-2.0214925475931101e-06,2.1133669537709946e-06,2.7378314269873352e-06,2.3913080899112091e-06,6.4101580923184125e-06
209,-0.0025281645988349151,-0.013598938858168841,-0.01672409874437869,-0.01560965454815382,2.3566505642554851e-06,3.0643659726163389e-06,-2.3285655145053361e-06,2.3882352567606456e-06,3.1068812331677772e-06,2.729067255425821e-06,6.9921663529501885e-06
650,,,,,5.8604213535459724e-05,8.1599272809313581e-05,-7.5962448454197458e-05,5.8860500334108876e-05,8.1961264485571041e-05,7.8621826109631038e-05,6.1826441704183538e-05
