# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
0 0.000000000000000e+00 6.170519357227641e-21 1.582184450571190e-07 3.955461126427975e-07 3.906250440801767e-07 1.582184450571190e-19
1 2.604166666666666e-13 1.019680653440263e-20 2.614565778051956e-07 6.536414445129891e-07 6.510417989071967e-07 2.614565778051956e-19
2 5.208333333333332e-13 1.416758912667268e-20 3.632715160685304e-07 9.081787901713259e-07 9.114585537342165e-07 3.632715160685303e-19
3 7.812499999999997e-13 1.810097074680859e-20 4.641274550463740e-07 1.160318637615935e-06 1.171875308561237e-06 4.641274550463740e-19
4 1.041666666666666e-12 2.200639971082879e-20 5.642666592520202e-07 1.410666648130051e-06 1.432292063388257e-06 5.642666592520201e-19
5 1.302083333333333e-12 2.588799119027017e-20 6.637946459043634e-07 1.659486614760908e-06 1.692708818215277e-06 6.637946459043633e-19
6 1.562499999999999e-12 2.974782642337002e-20 7.627647800864109e-07 1.906911950216027e-06 1.953125558239323e-06 7.627647800864108e-19
7 1.822916666666666e-12 3.358738619423480e-20 8.612150306214051e-07 2.153037576553513e-06 2.213542239051475e-06 8.612150306214051e-19
8 2.083333333333333e-12 3.740792854546977e-20 9.591776550120452e-07 2.397944137530113e-06 2.473958993878495e-06 9.591776550120452e-19
9 2.343749999999999e-12 4.121054563270013e-20 1.056680657248721e-06 2.641701643121804e-06 2.734375748705515e-06 1.056680657248721e-18
10 2.604166666666666e-12 4.499618356032441e-20 1.153748296418575e-06 2.884370741046437e-06 2.994792503532535e-06 1.153748296418575e-18
11 2.864583333333332e-12 4.876566535434182e-20 1.250401675752355e-06 3.126004189380886e-06 3.255209258359554e-06 1.250401675752355e-18
12 3.124999999999999e-12 5.251970996377304e-20 1.346659229840335e-06 3.366648074600837e-06 3.515626013186575e-06 1.346659229840335e-18
13 3.385416666666665e-12 5.625895156401547e-20 1.442537219590140e-06 3.606343048975351e-06 3.776042768013595e-06 1.442537219590140e-18
14 3.645833333333332e-12 5.998395415673850e-20 1.538050106583039e-06 3.845125266457597e-06 4.036459522840614e-06 1.538050106583039e-18
15 3.906249999999999e-12 6.369522402038730e-20 1.633210872317623e-06 4.083027180794058e-06 4.296876277667635e-06 1.633210872317623e-18
16 4.166666666666665e-12 6.739321916914395e-20 1.728031260747281e-06 4.320078151868202e-06 4.557293032494655e-06 1.728031260747281e-18
17 4.427083333333332e-12 7.107835640668336e-20 1.822521959145727e-06 4.556304897864319e-06 4.817709787321675e-06 1.822521959145727e-18
18 4.687499999999998e-12 7.475101819526187e-20 1.916692774237484e-06 4.791731935593711e-06 5.078126542148695e-06 1.916692774237484e-18
19 4.947916666666665e-12 7.841155535476186e-20 2.010552701404150e-06 5.026381753510376e-06 5.338543296975715e-06 2.010552701404151e-18
20 5.208333333333332e-12 8.206029296348095e-20 2.104110075986691e-06 5.260275189966728e-06 5.598960051802735e-06 2.104110075986691e-18
21 5.468749999999998e-12 8.569753166643728e-20 2.197372606831725e-06 5.493431517079313e-06 5.859376806629755e-06 2.197372606831725e-18
22 5.729166666666665e-12 8.932355193529526e-20 2.290347485520391e-06 5.725868713800979e-06 6.119793561456775e-06 2.290347485520391e-18
23 5.989583333333331e-12 9.293861579268072e-20 2.383041430581557e-06 5.957603576453893e-06 6.380210316283797e-06 2.383041430581557e-18
24 6.249999999999998e-12 9.654296828614071e-20 2.475460725285659e-06 6.188651813214149e-06 6.640627071110814e-06 2.475460725285659e-18
25 6.510416666666664e-12 1.001368397751567e-19 2.567611276286070e-06 6.419028190715176e-06 6.901043825937836e-06 2.567611276286070e-18
26 6.770833333333331e-12 1.037204476616123e-19 2.659498657990060e-06 6.648746644975150e-06 7.161460521552959e-06 2.659498657990060e-18
27 7.031249999999998e-12 1.072939964458130e-19 2.751128113995206e-06 6.877820284988016e-06 7.421877128350244e-06 2.751128113995206e-18
28 7.291666666666664e-12 1.108576799897687e-19 2.842504615122275e-06 7.106261537805687e-06 7.682293823965369e-06 2.842504615122275e-18
29 7.552083333333330e-12 1.144116817378963e-19 2.933632865074264e-06 7.334082162685661e-06 7.942710534383469e-06 2.933632865074265e-18
30 7.812499999999997e-12 1.179561762544016e-19 3.024517339856451e-06 7.561293349641130e-06 8.203127185589672e-06 3.024517339856451e-18
31 8.072916666666665e-12 1.214913294252469e-19 3.115162292955050e-06 7.787905732387625e-06 8.463543792386956e-06 3.115162292955050e-18
32 8.333333333333330e-12 1.250172992138894e-19 3.205571774715114e-06 8.013929436787786e-06 8.723960488002080e-06 3.205571774715114e-18
33 8.593749999999996e-12 1.285342363827872e-19 3.295749650840697e-06 8.239374127101742e-06 8.984377198420180e-06 3.295749650840697e-18
34 8.854166666666664e-12 1.320422849636712e-19 3.385699614453107e-06 8.464249036132767e-06 9.244793849626383e-06 3.385699614453107e-18
35 9.114583333333331e-12 1.355415828615066e-19 3.475425201577092e-06 8.688563003942731e-06 9.505210456423667e-06 3.475425201577092e-18
36 9.374999999999997e-12 1.390322621142851e-19 3.564929797802183e-06 8.912324494505458e-06 9.765627152038794e-06 3.564929797802183e-18
37 9.635416666666662e-12 1.425144493446081e-19 3.654216649861745e-06 9.135541624654364e-06 1.002604386245689e-05 3.654216649861746e-18
38 9.895833333333330e-12 1.459882665000201e-19 3.743288884615899e-06 9.358222211539750e-06 1.028646051366310e-05 3.743288884615899e-18
39 1.015625000000000e-11 1.494538300584133e-19 3.832149488677263e-06 9.580373721693159e-06 1.054687710565741e-05 3.832149488677262e-18
40 1.041666666666666e-11 1.529112528698873e-19 3.920801355638135e-06 9.802003389095338e-06 1.080729381607550e-05 3.920801355638135e-18
41 1.067708333333333e-11 1.563606430233966e-19 4.009247257010169e-06 1.002311814252542e-05 1.106771052649360e-05 4.009247257010168e-18
42 1.093750000000000e-11 1.598021051009786e-19 4.097489874384068e-06 1.024372468596017e-05 1.132812717769981e-05 4.097489874384068e-18
43 1.119791666666666e-11 1.632357398798441e-19 4.185531791790875e-06 1.046382947947719e-05 1.158854376969412e-05 4.185531791790875e-18
44 1.145833333333333e-11 1.666616448194410e-19 4.273375508190794e-06 1.068343877047699e-05 1.184896048011222e-05 4.273375508190795e-18
45 1.171875000000000e-11 1.700799141242282e-19 4.361023439082774e-06 1.090255859770694e-05 1.210937719053032e-05 4.361023439082774e-18
46 1.197916666666666e-11 1.734906386414429e-19 4.448477913883151e-06 1.112119478470788e-05 1.236979384173652e-05 4.448477913883151e-18
47 1.223958333333333e-11 1.768939066023130e-19 4.535741194931104e-06 1.133935298732776e-05 1.263021043373083e-05 4.535741194931105e-18
