# iT  physTime_s  Qy_m3_per_s  qy_cell_m_per_s  u_y_fluid_average_m_per_s  u_y_fluid_max_m_per_s  B_yy_m2
0 0.000000000000000e+00 1.023611110260759e-19 2.624643872463485e-06 6.561609681158712e-06 6.249999994740092e-06 2.624643872463485e-18
1 4.166666666666665e-12 1.649305556200789e-19 4.228988605643048e-06 1.057247151410762e-05 1.041666667309140e-05 4.228988605643047e-18
2 8.333333333333330e-12 2.239969137594639e-19 5.743510609217024e-06 1.435877652304256e-05 1.458333335884420e-05 5.743510609217024e-18
3 1.250000000000000e-11 2.808043983428665e-19 7.200112778022219e-06 1.800028194505555e-05 1.875000002979402e-05 7.200112778022219e-18
4 1.666666666666666e-11 3.359636489502985e-19 8.614452537187142e-06 2.153613134296786e-05 2.291666668594087e-05 8.614452537187143e-18
5 2.083333333333333e-11 3.897133630735324e-19 9.992650335218779e-06 2.498162583804695e-05 2.708333333468623e-05 9.992650335218780e-18
6 2.499999999999999e-11 4.421739491935318e-19 1.133779356906492e-05 2.834448392266230e-05 3.124998511014381e-05 1.133779356906492e-17
7 2.916666666666666e-11 4.934416492843165e-19 1.265234998164914e-05 3.163087495412285e-05 3.541655007726309e-05 1.265234998164914e-17
8 3.333333333333332e-11 5.436011399053544e-19 1.393849076680396e-05 3.484622691700990e-05 3.958284423508146e-05 1.393849076680396e-17
9 3.749999999999999e-11 5.927242943121407e-19 1.519805882851643e-05 3.799514707129108e-05 4.374852509829954e-05 1.519805882851643e-17
10 4.166666666666665e-11 6.408723040975796e-19 1.643262318198922e-05 4.108155795497306e-05 4.791306625096946e-05 1.643262318198922e-17
11 4.583333333333332e-11 6.880984442858779e-19 1.764354985348405e-05 4.410887463371013e-05 5.207575454503212e-05 1.764354985348405e-17
12 4.999999999999998e-11 7.344495600749414e-19 1.883204000192158e-05 4.708010000480394e-05 5.623570518084648e-05 1.883204000192158e-17
13 5.416666666666665e-11 7.799669690837262e-19 1.999915305342888e-05 4.999788263357220e-05 6.039188784183983e-05 1.999915305342888e-17
14 5.833333333333331e-11 8.246873750025044e-19 2.114583012826935e-05 5.286457532067337e-05 6.454315821373916e-05 2.114583012826935e-17
15 6.249999999999998e-11 8.686437198424319e-19 2.227291589339569e-05 5.568228973348923e-05 6.868829027725840e-05 2.227291589339569e-17
16 6.666666666666664e-11 9.118658286089372e-19 2.338117509253685e-05 5.845293773134214e-05 7.282600649136159e-05 2.338117509253685e-17
17 7.083333333333331e-11 9.543808714283542e-19 2.447130439559883e-05 6.117826098899707e-05 7.695500471987210e-05 2.447130439559883e-17
18 7.499999999999997e-11 9.962137246007767e-19 2.554394165643017e-05 6.385985414107544e-05 8.107398068018207e-05 2.554394165643018e-17
19 7.916666666666664e-11 1.037387273769400e-18 2.659967368639488e-05 6.649918421598721e-05 8.518164651728369e-05 2.659967368639488e-17
20 8.333333333333330e-11 1.077922667430327e-18 2.763904275462377e-05 6.909760688655942e-05 8.927674498501792e-05 2.763904275462377e-17
21 8.749999999999997e-11 1.117839527494690e-18 2.866255198704334e-05 7.165637996760837e-05 9.335806052980106e-05 2.866255198704335e-17
22 9.166666666666663e-11 1.157156123927846e-18 2.967066984430374e-05 7.417667461075935e-05 9.742442702147766e-05 2.967066984430374e-17
