# iT  physTime_s  Qx_m3_per_s  qx_cell_m_per_s  max_abs_ux_m_per_s
0 0.000000000000000e+00 1.004861110284428e-19 2.576566949447253e-06 6.249999994740092e-06
1 4.166666666666665e-12 1.582735340284065e-19 4.058295744318115e-06 1.041666667309140e-05
2 8.333333333333330e-12 2.109681501101120e-19 5.409439746413129e-06 1.458333335884420e-05
3 1.250000000000000e-11 2.597326608967262e-19 6.659811817864774e-06 1.875000002979402e-05
4 1.666666666666666e-11 3.044920476316719e-19 7.807488400812099e-06 2.291666668594087e-05
5 2.083333333333333e-11 3.454839827448343e-19 8.858563660123956e-06 2.708333333468623e-05
6 2.499999999999999e-11 3.830064015696545e-19 9.820676963324476e-06 3.124998511754530e-05
7 2.916666666666666e-11 4.171877108032596e-19 1.069712078982717e-05 3.541655008466458e-05
8 3.333333333333332e-11 4.480970869660878e-19 1.148966889656635e-05 3.958284423878220e-05
9 3.749999999999999e-11 4.758275700671690e-19 1.220070692479920e-05 4.374852510570102e-05
10 4.166666666666665e-11 5.004901370206433e-19 1.283308043642675e-05 4.791306625096947e-05
11 4.583333333333332e-11 5.221815360983120e-19 1.338927015636697e-05 5.205181597927418e-05
12 4.999999999999998e-11 5.409713767202548e-19 1.387106094154500e-05 5.610474426348273e-05
13 5.416666666666665e-11 5.569263707314092e-19 1.428016335208742e-05 5.997384098165006e-05
14 5.833333333333331e-11 5.701212460143607e-19 1.461849348754771e-05 6.353953193781220e-05
15 6.249999999999998e-11 5.806252410218581e-19 1.488782669286816e-05 6.668188377251610e-05
16 6.666666666666664e-11 5.884959842129432e-19 1.508964062084470e-05 6.930295075736956e-05
17 7.083333333333331e-11 5.937891963648677e-19 1.522536400935558e-05 7.134074629286395e-05
18 7.499999999999997e-11 5.965619608741597e-19 1.529646053523486e-05 7.277358083417960e-05
19 7.916666666666664e-11 5.968675829484744e-19 1.530429699867883e-05 7.361629201737042e-05
20 8.333333333333330e-11 5.947537738138929e-19 1.525009676445879e-05 7.391031433581111e-05
21 8.749999999999997e-11 5.902659699392620e-19 1.513502487023749e-05 7.371304913589231e-05
22 9.166666666666663e-11 5.834481482614883e-19 1.496020892978175e-05 7.308677463643804e-05
23 9.583333333333330e-11 5.743411884154344e-19 1.472669713885729e-05 7.209160165644514e-05
24 9.999999999999996e-11 5.629826256572997e-19 1.443545193993076e-05 7.077979537599367e-05
25 1.041666666666666e-10 5.494084429727494e-19 1.408739597366024e-05 6.919453527652605e-05
26 1.083333333333333e-10 5.336546163138155e-19 1.368345170035424e-05 6.736904372588307e-05
27 1.125000000000000e-10 5.157588631625989e-19 1.322458623493844e-05 6.532876693395816e-05
28 1.166666666666666e-10 4.957638035556735e-19 1.271189239886342e-05 6.309250485197178e-05
29 1.208333333333333e-10 4.737214955784744e-19 1.214670501483268e-05 6.067533621437489e-05
30 1.250000000000000e-10 4.496980225649915e-19 1.153071852730748e-05 5.808970661742038e-05
31 1.291666666666666e-10 4.237776975428956e-19 1.086609480879220e-05 5.534767792357074e-05
32 1.333333333333333e-10 3.960665704384347e-19 1.015555308816499e-05 5.246118349811396e-05
33 1.374999999999999e-10 3.666947799680787e-19 9.402430255591762e-06 4.944326365794587e-05
34 1.416666666666666e-10 3.358170854022261e-19 8.610694497492979e-06 4.630750252575466e-05
35 1.458333333333333e-10 3.036116048526186e-19 7.784912944938940e-06 4.306848204090297e-05
36 1.499999999999999e-10 2.702769821312111e-19 6.930179029005414e-06 3.974076657165094e-05
37 1.541666666666666e-10 2.360283782964181e-19 6.052009699908158e-06 3.633899705464198e-05
38 1.583333333333333e-10 2.010925889185265e-19 5.156220228680167e-06 3.287684586425183e-05
39 1.625000000000000e-10 1.657028232477806e-19 4.248790339686682e-06 2.936714552072496e-05
40 1.666666666666666e-10 1.300935553652576e-19 3.335732188852758e-06 2.582113955609209e-05
41 1.708333333333333e-10 9.449582123113527e-20 2.422969775157315e-06 2.224889777087863e-05
42 1.749999999999999e-10 5.913311282237587e-20 1.516233662112202e-06 1.865901246229507e-05
43 1.791666666666666e-10 2.421803531392593e-20 6.209752644596394e-07 1.505935188079098e-05
44 1.833333333333333e-10 -1.005026911202553e-20 -2.576992080006547e-07 1.187759958351994e-05
45 1.874999999999999e-10 -4.348793177797279e-20 -1.115075173794174e-06 1.380296307773432e-05
46 1.916666666666666e-10 -7.592752035609878e-20 -1.946859496310225e-06 1.567803757314135e-05
47 1.958333333333333e-10 -1.072186143055655e-19 -2.749195238604245e-06 1.749862298874770e-05
48 1.999999999999999e-10 -1.372279151023025e-19 -3.518664489802628e-06 1.925861404904776e-05
